,reference_period_desc,source_desc,location_desc,sector_desc,year,inventory_value,short_desc,statisticcat_desc
16596,JAN THRU MAR,SURVEY,ALABAMA,ANIMALS & PRODUCTS,2020,"8,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16597,APR THRU JUN,SURVEY,ALABAMA,ANIMALS & PRODUCTS,2020,"8,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16617,JAN THRU MAR,SURVEY,ARIZONA,ANIMALS & PRODUCTS,2020,"32,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16618,APR THRU JUN,SURVEY,ARIZONA,ANIMALS & PRODUCTS,2020,"26,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16638,JAN THRU MAR,SURVEY,ARKANSAS,ANIMALS & PRODUCTS,2020,"17,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16639,APR THRU JUN,SURVEY,ARKANSAS,ANIMALS & PRODUCTS,2020,"17,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16659,JAN THRU MAR,SURVEY,CALIFORNIA,ANIMALS & PRODUCTS,2020,"1,710,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16660,APR THRU JUN,SURVEY,CALIFORNIA,ANIMALS & PRODUCTS,2020,"1,200,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16680,JAN THRU MAR,SURVEY,COLORADO,ANIMALS & PRODUCTS,2020,"16,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16681,APR THRU JUN,SURVEY,COLORADO,ANIMALS & PRODUCTS,2020,"27,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16701,JAN THRU MAR,SURVEY,CONNECTICUT,ANIMALS & PRODUCTS,2020,"4,100","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16702,APR THRU JUN,SURVEY,CONNECTICUT,ANIMALS & PRODUCTS,2020,"4,300","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16722,JAN THRU MAR,SURVEY,FLORIDA,ANIMALS & PRODUCTS,2020,"310,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16723,APR THRU JUN,SURVEY,FLORIDA,ANIMALS & PRODUCTS,2020,"325,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16743,JAN THRU MAR,SURVEY,GEORGIA,ANIMALS & PRODUCTS,2020,"121,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16744,APR THRU JUN,SURVEY,GEORGIA,ANIMALS & PRODUCTS,2020,"143,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16764,JAN THRU MAR,SURVEY,HAWAII,ANIMALS & PRODUCTS,2020,"16,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16765,APR THRU JUN,SURVEY,HAWAII,ANIMALS & PRODUCTS,2020,"15,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16785,JAN THRU MAR,SURVEY,IDAHO,ANIMALS & PRODUCTS,2020,"168,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16786,APR THRU JUN,SURVEY,IDAHO,ANIMALS & PRODUCTS,2020,"81,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16806,JAN THRU MAR,SURVEY,ILLINOIS,ANIMALS & PRODUCTS,2020,"13,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16807,APR THRU JUN,SURVEY,ILLINOIS,ANIMALS & PRODUCTS,2020,"12,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16827,JAN THRU MAR,SURVEY,INDIANA,ANIMALS & PRODUCTS,2020,"11,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16828,APR THRU JUN,SURVEY,INDIANA,ANIMALS & PRODUCTS,2020,"12,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16848,JAN THRU MAR,SURVEY,IOWA,ANIMALS & PRODUCTS,2020,"21,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16849,APR THRU JUN,SURVEY,IOWA,ANIMALS & PRODUCTS,2020,"29,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16869,JAN THRU MAR,SURVEY,KANSAS,ANIMALS & PRODUCTS,2020,"7,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16870,APR THRU JUN,SURVEY,KANSAS,ANIMALS & PRODUCTS,2020,"8,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16890,JAN THRU MAR,SURVEY,KENTUCKY,ANIMALS & PRODUCTS,2020,"10,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16891,APR THRU JUN,SURVEY,KENTUCKY,ANIMALS & PRODUCTS,2020,"11,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16911,JAN THRU MAR,SURVEY,LOUISIANA,ANIMALS & PRODUCTS,2020,"48,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16912,APR THRU JUN,SURVEY,LOUISIANA,ANIMALS & PRODUCTS,2020,"53,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16932,JAN THRU MAR,SURVEY,MAINE,ANIMALS & PRODUCTS,2020,"1,700","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16933,APR THRU JUN,SURVEY,MAINE,ANIMALS & PRODUCTS,2020,"22,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16953,JAN THRU MAR,SURVEY,MARYLAND,ANIMALS & PRODUCTS,2020,"7,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16954,APR THRU JUN,SURVEY,MARYLAND,ANIMALS & PRODUCTS,2020,"8,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16974,JAN THRU MAR,SURVEY,MASSACHUSETTS,ANIMALS & PRODUCTS,2020,"4,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16975,APR THRU JUN,SURVEY,MASSACHUSETTS,ANIMALS & PRODUCTS,2020,"13,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16995,JAN THRU MAR,SURVEY,MICHIGAN,ANIMALS & PRODUCTS,2020,"65,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16996,APR THRU JUN,SURVEY,MICHIGAN,ANIMALS & PRODUCTS,2020,"79,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17016,JAN THRU MAR,SURVEY,MINNESOTA,ANIMALS & PRODUCTS,2020,"57,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17017,APR THRU JUN,SURVEY,MINNESOTA,ANIMALS & PRODUCTS,2020,"126,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17037,JAN THRU MAR,SURVEY,MISSISSIPPI,ANIMALS & PRODUCTS,2020,"28,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17038,APR THRU JUN,SURVEY,MISSISSIPPI,ANIMALS & PRODUCTS,2020,"37,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17058,JAN THRU MAR,SURVEY,MISSOURI,ANIMALS & PRODUCTS,2020,"8,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17059,APR THRU JUN,SURVEY,MISSOURI,ANIMALS & PRODUCTS,2020,"6,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17079,JAN THRU MAR,SURVEY,MONTANA,ANIMALS & PRODUCTS,2020,"48,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17080,APR THRU JUN,SURVEY,MONTANA,ANIMALS & PRODUCTS,2020,"120,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17100,JAN THRU MAR,SURVEY,NEBRASKA,ANIMALS & PRODUCTS,2020,"17,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17101,APR THRU JUN,SURVEY,NEBRASKA,ANIMALS & PRODUCTS,2020,"39,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17121,JAN THRU MAR,SURVEY,NEW JERSEY,ANIMALS & PRODUCTS,2020,"7,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17122,APR THRU JUN,SURVEY,NEW JERSEY,ANIMALS & PRODUCTS,2020,"20,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17142,JAN THRU MAR,SURVEY,NEW MEXICO,ANIMALS & PRODUCTS,2020,"6,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17143,APR THRU JUN,SURVEY,NEW MEXICO,ANIMALS & PRODUCTS,2020,"6,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17163,JAN THRU MAR,SURVEY,NEW YORK,ANIMALS & PRODUCTS,2020,"36,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17164,APR THRU JUN,SURVEY,NEW YORK,ANIMALS & PRODUCTS,2020,"56,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17184,JAN THRU MAR,SURVEY,NORTH CAROLINA,ANIMALS & PRODUCTS,2020,"23,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17185,APR THRU JUN,SURVEY,NORTH CAROLINA,ANIMALS & PRODUCTS,2020,"25,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17205,JAN THRU MAR,SURVEY,NORTH DAKOTA,ANIMALS & PRODUCTS,2020,"82,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17206,APR THRU JUN,SURVEY,NORTH DAKOTA,ANIMALS & PRODUCTS,2020,"395,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17226,JAN THRU MAR,SURVEY,OHIO,ANIMALS & PRODUCTS,2020,"20,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17227,APR THRU JUN,SURVEY,OHIO,ANIMALS & PRODUCTS,2020,"16,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17247,JAN THRU MAR,SURVEY,OKLAHOMA,ANIMALS & PRODUCTS,2020,"19,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17248,APR THRU JUN,SURVEY,OKLAHOMA,ANIMALS & PRODUCTS,2020,"16,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17268,JAN THRU MAR,SURVEY,OREGON,ANIMALS & PRODUCTS,2020,"108,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17269,APR THRU JUN,SURVEY,OREGON,ANIMALS & PRODUCTS,2020,"95,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17289,JAN THRU MAR,SURVEY,PENNSYLVANIA,ANIMALS & PRODUCTS,2020,"24,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17290,APR THRU JUN,SURVEY,PENNSYLVANIA,ANIMALS & PRODUCTS,2020,"27,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17310,JAN THRU MAR,SURVEY,SOUTH CAROLINA,ANIMALS & PRODUCTS,2020,"16,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17311,APR THRU JUN,SURVEY,SOUTH CAROLINA,ANIMALS & PRODUCTS,2020,"20,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17331,JAN THRU MAR,SURVEY,SOUTH DAKOTA,ANIMALS & PRODUCTS,2020,"20,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17332,APR THRU JUN,SURVEY,SOUTH DAKOTA,ANIMALS & PRODUCTS,2020,"205,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17352,JAN THRU MAR,SURVEY,TENNESSEE,ANIMALS & PRODUCTS,2020,"14,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17353,APR THRU JUN,SURVEY,TENNESSEE,ANIMALS & PRODUCTS,2020,"13,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17373,JAN THRU MAR,SURVEY,TEXAS,ANIMALS & PRODUCTS,2020,"340,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17374,APR THRU JUN,SURVEY,TEXAS,ANIMALS & PRODUCTS,2020,"385,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17394,JAN THRU MAR,SURVEY,UTAH,ANIMALS & PRODUCTS,2020,"17,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17395,APR THRU JUN,SURVEY,UTAH,ANIMALS & PRODUCTS,2020,"31,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17415,JAN THRU MAR,SURVEY,VERMONT,ANIMALS & PRODUCTS,2020,"7,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17416,APR THRU JUN,SURVEY,VERMONT,ANIMALS & PRODUCTS,2020,"7,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17436,JAN THRU MAR,SURVEY,VIRGINIA,ANIMALS & PRODUCTS,2020,"7,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17437,APR THRU JUN,SURVEY,VIRGINIA,ANIMALS & PRODUCTS,2020,"8,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17457,JAN THRU MAR,SURVEY,WASHINGTON,ANIMALS & PRODUCTS,2020,"74,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17458,APR THRU JUN,SURVEY,WASHINGTON,ANIMALS & PRODUCTS,2020,"114,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17478,JAN THRU MAR,SURVEY,WEST VIRGINIA,ANIMALS & PRODUCTS,2020,"8,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17479,APR THRU JUN,SURVEY,WEST VIRGINIA,ANIMALS & PRODUCTS,2020,"7,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17499,JAN THRU MAR,SURVEY,WISCONSIN,ANIMALS & PRODUCTS,2020,"26,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17500,APR THRU JUN,SURVEY,WISCONSIN,ANIMALS & PRODUCTS,2020,"53,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17520,JAN THRU MAR,SURVEY,WYOMING,ANIMALS & PRODUCTS,2020,"17,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17521,APR THRU JUN,SURVEY,WYOMING,ANIMALS & PRODUCTS,2020,"24,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17541,JAN THRU MAR,SURVEY,OTHER STATES,ANIMALS & PRODUCTS,2020,"8,200","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
17542,APR THRU JUN,SURVEY,OTHER STATES,ANIMALS & PRODUCTS,2020,"7,440","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
